epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,65.2581,0.88719,0.77878,1.11787,0.60143,0.67624,0.59601,0.35652,1.39864,1.13632,1.38141,0.00125923,0.00125923,0.00125923
17,69.3508,0.95631,0.78866,1.1485,0.58905,0.69757,0.62646,0.37838,1.36861,1.14809,1.3541,0.00124792,0.00124792,0.00124792
18,73.3843,0.94223,0.78465,1.15056,0.60794,0.64302,0.65029,0.39671,1.33806,1.22035,1.34641,0.0012366,0.0012366,0.0012366
19,77.5926,0.94222,0.78023,1.14169,0.63905,0.63632,0.65717,0.38931,1.31324,1.11247,1.37174,0.00122528,0.00122528,0.00122528
20,81.6276,0.95076,0.79064,1.14741,0.62366,0.58158,0.56798,0.3576,1.35312,1.15719,1.41097,0.00121396,0.00121396,0.00121396
21,85.6617,0.95436,0.82013,1.17221,0.65598,0.65025,0.62076,0.38955,1.33016,1.06701,1.38934,0.00120265,0.00120265,0.00120265
22,89.7526,0.93134,0.7754,1.13482,0.64304,0.66053,0.61193,0.36964,1.36509,1.07594,1.40276,0.00119133,0.00119133,0.00119133
23,93.8134,0.93475,0.79334,1.15729,0.58556,0.70161,0.61737,0.36231,1.35268,1.09716,1.37587,0.00118001,0.00118001,0.00118001
24,97.861,0.97021,0.82803,1.16729,0.58633,0.66364,0.63082,0.38401,1.29759,1.13921,1.33464,0.00116869,0.00116869,0.00116869
25,101.945,0.99437,0.83863,1.17382,0.55907,0.65982,0.63557,0.38735,1.27035,1.14962,1.31795,0.00115738,0.00115738,0.00115738
26,106.016,0.91622,0.80727,1.14066,0.60143,0.66931,0.63739,0.39952,1.32799,1.07948,1.34436,0.00114606,0.00114606,0.00114606
